CarId, Blue1, Yellow1, Green1, Red1, Blue2, Yellow2, Green2, Red2
60 ,  -0.050249499999999614 ,  0.004058500000000187 ,  -0.04800149999999981 ,  -0.07093349999999976 ,  0.024346500000000493 ,  0.01029450000000054 ,  0.010810500000000278 ,  0.11967450000000035
61 ,  -0.020961999999999925 ,  -0.03915000000000024 ,  -0.004586000000000201 ,  -0.0003340000000000565 ,  -0.006666000000000061 ,  0.02696999999999994 ,  0.0000019999999998354667 ,  0.04472599999999982
62 ,  -0.03380749999999999 ,  -0.0755634999999999 ,  -0.07943949999999989 ,  -0.0748875 ,  0.07782450000000019 ,  0.06644450000000024 ,  0.03176850000000009 ,  0.08766050000000014
63 ,  -0.030309500000000433 ,  -0.015305500000000194 ,  -0.02112150000000046 ,  0.09846649999999979 ,  -0.010389500000000496 ,  -0.005297500000000177 ,  -0.010765500000000205 ,  -0.00527750000000049
64 ,  0.006032000000000259 ,  0.008244000000000362 ,  -0.015379999999999505 ,  0.001104000000000216 ,   ,   ,   ,  
65 ,  -0.12041749999999984 ,  -0.11972149999999981 ,  -0.13327750000000016 ,  -0.1290095 ,  0.10177050000000021 ,  0.15901850000000017 ,  0.1226345000000002 ,  0.11900250000000012
66 ,  -0.028473000000000415 ,  -0.06513300000000033 ,  -0.11198500000000067 ,  -0.018473000000000628 ,  0.08166699999999949 ,  0.21816299999999966 ,  -0.07312500000000055 ,  -0.0026410000000005596
67 ,  -0.00743500000000008 ,  -0.0007429999999999382 ,  0.00672499999999987 ,  0.0014529999999997045 ,   ,   ,   ,  
68 ,  -0.009559499999999943 ,  0.013760500000000064 ,  0.022244500000000222 ,  -0.030995499999999954 ,  0.05942449999999999 ,  -0.0030394999999998618 ,  0.029148500000000244 ,  -0.08098349999999988
69 ,  0.0766 ,  0.11839200000000005 ,  0.08328399999999991 ,  0.055608000000000324 ,  -0.06355200000000005 ,  -0.09643200000000007 ,  -0.08795999999999982 ,  -0.0859399999999999
70 ,  -0.009579000000000448 ,  -0.026683000000000234 ,  0.01714099999999963 ,  0.01912099999999972 ,   ,   ,   ,  
71 ,  0.0005910000000000082 ,  0.027419000000000082 ,  -0.009157000000000082 ,  -0.01885300000000001 ,   ,   ,   ,  
72 ,  0.01061600000000018 ,  -0.024680000000000035 ,  0.022823999999999955 ,  -0.008760000000000101 ,   ,   ,   ,  
73 ,  -0.017815000000000136 ,  -0.008491000000000248 ,  0.008044999999999636 ,  0.01826099999999986 ,   ,   ,   ,  
74 ,  -0.0015009999999997525 ,  -0.005112999999999701 ,  -0.007288999999999657 ,  0.013903000000000443 ,   ,   ,   ,  
75 ,  -0.004906000000000521 ,  0.014245999999999537 ,  -0.00419000000000036 ,  -0.005150000000000432 ,   ,   ,   ,  
76 ,  0.07860099999999992 ,  0.034260999999999875 ,  -0.06385899999999989 ,  -0.04900299999999991 ,   ,   ,   ,  
77 ,  -0.031130999999999798 ,  -0.019083000000000183 ,  0.00874499999999978 ,  0.0414690000000002 ,   ,   ,   ,  
78 ,  0.0792010000000003 ,  -0.08417099999999955 ,  -0.0006429999999997271 ,  0.005613000000000312 ,   ,   ,   ,  
79 ,  -0.21455400000000013 ,  0.26364199999999993 ,  -0.04485399999999995 ,  -0.004233999999999849 ,   ,   ,   ,  
80 ,  -0.014344999999999608 ,  0.00301499999999999 ,  0.032650999999999986 ,  -0.021320999999999923 ,   ,   ,   ,  
81 ,  -0.014287999999999634 ,  0.022728000000000304 ,  -0.018323999999999785 ,  0.009884000000000448 ,   ,   ,   ,  
